date,posts,score_sum,score_mean,mentions_GME,mentions_AMC,mentions_BB,Open,High,Low,Close,Adj Close,Volume,return_close,abs_return,hl_range,vol_next,absret_next,hl_next
2020-09-29,1,4,4.0,0,0,0,48.79999923706055,49.400001525878906,47.5,48.599998474121094,48.599998474121094,252000,,,0.039094682829890086,59122390.0,0.5663316429559908,1.1575897797589252
2021-01-28,8447,1178729,139.54409849650764,2308,1467,782,119.80000305175781,165.0,65.0999984741211,86.30000305175781,86.30000305175781,59122390,-0.5663316429559908,0.5663316429559908,1.1575897797589252,60219330.0,0.5365005957646343,0.331825022433641
2021-01-29,8938,7143183,799.1925486686059,2936,1093,574,143.10000610351562,160.0,116.0,132.60000610351562,132.60000610351562,60219330,0.5365005957646343,0.5365005957646343,0.331825022433641,43460800.0,0.003016545083505573,0.3263157435825893
2021-02-01,1154,3521109,3051.2209705372616,400,120,59,170.0,172.5,129.10000610351562,133.0,133.0,43460800,0.003016545083505573,0.003016545083505573,0.3263157435825893,46277590.0,0.41203009813351743,0.5242966956525132
2021-02-02,1963,1023295,521.2913907284768,576,179,34,94.80000305175781,101.0,60.0,78.19999694824219,78.19999694824219,46277590,-0.41203009813351743,0.41203009813351743,0.5242966956525132,22140510.0,0.14705882926838787,0.20958747003314918
2021-02-03,2098,2898501,1381.5543374642516,574,172,52,88.5,97.69999694824219,78.9000015258789,89.69999694824219,89.69999694824219,22140510,0.14705882926838787,0.14705882926838787,0.20958747003314918,16298580.0,0.20958747003314915,0.24541609522431118
2021-02-04,1578,1186283,751.7636248415716,559,199,46,87.0,87.4000015258789,70.0,70.9000015258789,70.9000015258789,16298580,-0.20958747003314915,0.20958747003314915,0.24541609522431118,19709760.0,0.03667134581332954,0.25622253613573753
2021-02-05,2856,580750,203.34383753501402,1016,335,53,71.69999694824219,82.69999694824219,65.19999694824219,68.30000305175781,68.30000305175781,19709760,-0.03667134581332954,0.03667134581332954,0.25622253613573753,12817150.0,0.09516842641678291,0.18446604638536135
2021-02-08,267,896246,3356.7265917602995,96,34,8,68.80000305175781,68.9000015258789,57.5,61.79999923706055,61.79999923706055,12817150,-0.09516842641678291,0.09516842641678291,0.18446604638536135,10258810.0,0.11003235147263057,0.1
2021-02-09,163,843843,5176.950920245399,56,16,5,58.099998474121094,58.099998474121094,52.599998474121094,55.0,55.0,10258810,-0.11003235147263057,0.11003235147263057,0.1,15281080.0,0.05454545454545445,0.19655175044618803
2021-02-10,193,598096,3098.943005181347,74,20,8,57.099998474121094,65.9000015258789,54.5,58.0,58.0,15281080,0.05454545454545445,0.05454545454545445,0.19655175044618803,5592040.0,0.0327586469979122,0.06773617362598476
2021-02-11,174,559554,3215.8275862068967,39,13,10,56.20000076293945,58.5,54.70000076293945,56.099998474121094,56.099998474121094,5592040,-0.0327586469979122,0.0327586469979122,0.06773617362598476,4677300.0,0.0035650080870224254,0.08050089225698366
2021-02-12,183,403190,2203.224043715847,33,10,4,57.20000076293945,59.70000076293945,55.20000076293945,55.900001525878906,55.900001525878906,4677300,-0.0035650080870224254,0.0035650080870224254,0.08050089225698366,6116570.0,0.010733425004350483,0.09911501724108131
2021-02-16,98,374725,3823.7244897959185,20,8,2,60.29999923706055,60.5,54.900001525878906,56.5,56.5,6116570,0.010733425004350483,0.010733425004350483,0.09911501724108131,3884900.0,0.017699115044247815,0.05405405405405406
2021-02-17,179,432653,2417.0558659217877,21,5,4,55.79999923706055,56.20000076293945,53.20000076293945,55.5,55.5,3884900,-0.017699115044247815,0.017699115044247815,0.05405405405405406,13054080.0,0.00720723470052087,0.14337571224415394
2021-02-18,251,813695,3241.812749003984,42,14,9,58.400001525878906,62.5,54.599998474121094,55.099998474121094,55.099998474121094,13054080,-0.00720723470052087,0.00720723470052087,0.14337571224415394,4024910.0,0.034482787268520276,0.04561407524242736
