date,posts,score_sum,score_mean,mentions_GME,mentions_AMC,mentions_BB,Open,High,Low,Close,Adj Close,Volume,return_close,abs_return,hl_range,vol_next,absret_next,hl_next,ticker
2020-09-29,1,4,4.0,0,0,0,4.630000114440918,4.690000057220459,4.489999771118164,4.630000114440918,4.630000114440918,5843900,,,0.043196605001908375,194906600.0,0.4163346854231226,0.6211604517695315,BB
2021-01-28,8447,1178729,139.54409849650764,2308,1467,782,19.46999931335449,22.5,13.399999618530272,14.649999618530272,14.649999618530272,194906600,-0.4163346854231226,0.4163346854231226,0.6211604517695315,94049200.0,0.03754261101583023,0.3141844779431369,BB
2021-01-29,8938,7143183,799.1925486686059,2936,1093,574,17.979999542236328,18.1200008392334,13.6899995803833,14.100000381469728,14.100000381469728,94049200,-0.03754261101583023,0.03754261101583023,0.3141844779431369,78506000.0,0.037588632527110866,0.19207111398741658,BB
2021-02-01,1154,3521109,3051.2209705372616,400,120,59,14.640000343322754,15.539999961853027,12.729999542236328,14.630000114440918,14.630000114440918,78506000,0.037588632527110866,0.037588632527110866,0.19207111398741658,80520900.0,0.21052630892776691,0.23116883395688204,BB
2021-02-02,1963,1023295,521.2913907284768,576,179,34,13.470000267028809,13.75,11.079999923706056,11.550000190734863,11.550000190734863,80520900,-0.21052630892776691,0.21052630892776691,0.23116883395688204,50001300.0,0.0389610218038019,0.11583336194356268,BB
2021-02-03,2098,2898501,1381.5543374642516,574,172,52,11.720000267028809,12.470000267028809,11.079999923706056,12.0,12.0,50001300,0.0389610218038019,0.0389610218038019,0.11583336194356268,33668000.0,0.012499968210855972,0.07407412349478386,BB
2021-02-04,1578,1186283,751.7636248415716,559,199,46,12.119999885559082,12.43000030517578,11.529999732971191,12.149999618530272,12.149999618530272,33668000,0.012499968210855972,0.012499968210855972,0.07407412349478386,44183100.0,0.08888888540036843,0.13529856566801163,BB
2021-02-05,2856,580750,203.34383753501402,1016,335,53,11.920000076293944,13.670000076293944,11.880000114440918,13.229999542236328,13.229999542236328,44183100,0.08888888540036843,0.08888888540036843,0.13529856566801163,37068900.0,0.040060521918651615,0.07630815212713046,BB
2021-02-08,267,896246,3356.7265917602995,96,34,8,13.779999732971191,14.350000381469728,13.300000190734863,13.760000228881836,13.760000228881836,37068900,0.040060521918651615,0.040060521918651615,0.07630815212713046,23252500.0,0.023982552195994655,0.04765445831016003,BB
2021-02-09,163,843843,5176.950920245399,56,16,5,13.609999656677246,13.649999618530272,13.010000228881836,13.43000030517578,13.43000030517578,23252500,-0.023982552195994655,0.023982552195994655,0.04765445831016003,27277900.0,0.024571847818862125,0.056488530501488526,BB
