feature,importance
log_volume,0.7476032573565836
score_mean,0.04883579105430798
posts_lag1,0.03811155800011338
posts,0.03638080990271223
abs_return,0.034780468264633435
score_sum,0.030553093812655144
hl_range,0.02528059756976903
mentions_BB,0.022409115000058547
mentions_lag1,0.016045309039166716
