model,cv_splits,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,ticker,naive_mae_mean,naive_mae_std,mae_improvement_vs_naive_pct
Ridge,5,0.6513562637532602,0.2087929267664332,0.7508335352509781,0.21592128516603673,-1.0420435656284464,1.5264288862610325,GME,1.1414256366754467,0.40169491327361423,42.93484894465648
RandomForest,5,0.7392095751251456,0.23011618693010163,0.8330096981325454,0.24348756374709185,-1.5461596971716778,2.1267791474053555,GME,1.1414256366754467,0.40169491327361423,35.23804342802468
GradientBoosting,5,0.851620817817547,0.2669356008521199,0.9729227284848398,0.28100987843235203,-2.4819200785746043,2.9793965175678525,GME,1.1414256366754467,0.40169491327361423,25.389724003571068
Ridge,5,0.5666689558662568,0.22947558653735434,0.6753144665182531,0.21881440334558178,-1.3512543986119188,2.639405956071339,AMC,0.7089880208553964,0.2604288380933938,20.073550018155622
RandomForest,5,0.6535874862891236,0.30482378296670193,0.7631966799829467,0.2915628268941326,-2.440275608446302,4.375261702348157,AMC,0.7089880208553964,0.2604288380933938,7.814029706655957
GradientBoosting,5,0.7803093125598847,0.4943980962166875,0.9157864145742334,0.4888346828955431,-5.137296695289989,9.382471961855293,AMC,0.7089880208553964,0.2604288380933938,-10.05959051585088
Ridge,5,0.5658853035408747,0.17824043432143832,0.6612815082733642,0.15514427438759645,-1.484156503330614,2.0129961218998678,BB,0.8601989018678754,0.06279454860138164,34.21459823860675
RandomForest,5,0.509800939962133,0.0793249266576116,0.6131119558186242,0.06206460278770347,-0.9363628804990523,1.15378558731489,BB,0.8601989018678754,0.06279454860138164,40.73452792660769
GradientBoosting,5,0.519024282740557,0.10207348239830036,0.6240869099510252,0.11145909516383472,-0.960667155724709,1.3125113813046658,BB,0.8601989018678754,0.06279454860138164,39.66229419573498
