feature,importance
score_sum,0.35943898739742025
log_volume,0.2219345019078766
mentions_GME,0.1871788181384645
hl_range,0.054287640544359694
abs_return,0.053331103928962
score_mean,0.0417654042517834
posts,0.03931380941858524
posts_lag1,0.022691475343054365
mentions_lag1,0.020058259069494003
