model,cv_splits,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,ticker
LogisticRegression,5,0.8875,0.10825317547305482,0.8500438596491228,0.11227969948839948,0.22916666666666666,0.2724311839712921,GME
RandomForestClassifier,5,0.8625,0.12437342963832747,0.7208479532163743,0.08330422698833063,0.2159090909090909,0.22122639015831572,GME
LogisticRegression,5,0.75,0.06123724356957946,0.7568339646464647,0.11615671287377287,0.49537037037037035,0.30692035266605966,AMC
RandomForestClassifier,5,0.6499999999999999,0.09354143466934853,0.6542866161616161,0.17322327697376452,0.40514520202020204,0.2886814768374684,AMC
LogisticRegression,5,0.9,0.04082482904638629,0.8567251461988304,0.10869959237100058,0.3225806451612903,0.4561979233461597,BB
RandomForestClassifier,5,0.9166666666666666,0.023570226039551553,0.7256335282651073,0.2952983154604615,0.5333333333333333,0.39252270517012655,BB
