Date,Adj Close,Close,High,Low,Open,Volume
,BB,BB,BB,BB,BB,BB
2020-09-29,4.630000114440918,4.630000114440918,4.690000057220459,4.489999771118164,4.630000114440918,5843900
2020-09-30,4.590000152587891,4.590000152587891,4.760000228881836,4.579999923706055,4.650000095367432,3808500
2020-10-01,4.579999923706055,4.579999923706055,4.639999866485596,4.519999980926514,4.590000152587891,4971200
2020-10-02,4.440000057220459,4.440000057220459,4.5,4.369999885559082,4.489999771118164,6539300
2020-10-05,4.5,4.5,4.510000228881836,4.429999828338623,4.460000038146973,3106300
2020-10-06,4.550000190734863,4.550000190734863,4.679999828338623,4.510000228881836,4.53000020980835,3966000
2020-10-07,4.570000171661377,4.570000171661377,4.639999866485596,4.519999980926514,4.599999904632568,2166900
2020-10-08,4.599999904632568,4.599999904632568,4.639999866485596,4.539999961853027,4.599999904632568,2154100
2020-10-09,4.730000019073486,4.730000019073486,4.739999771118164,4.610000133514404,4.619999885559082,2618200
2020-10-12,4.75,4.75,4.829999923706055,4.739999771118164,4.75,2268300
2020-10-13,5.139999866485596,5.139999866485596,5.230000019073486,4.75,4.75,10691100
2020-10-14,5.079999923706055,5.079999923706055,5.25,5.019999980926514,5.150000095367432,5209400
2020-10-15,5.159999847412109,5.159999847412109,5.170000076293945,4.96999979019165,4.980000019073486,4452600
2020-10-16,4.980000019073486,4.980000019073486,5.210000038146973,4.96999979019165,5.199999809265137,5982500
2020-10-19,5.190000057220459,5.190000057220459,5.210000038146973,5.010000228881836,5.050000190734863,4816400
2020-10-20,5.079999923706055,5.079999923706055,5.210000038146973,5.059999942779541,5.199999809265137,4616000
2020-10-21,5.099999904632568,5.099999904632568,5.139999866485596,5.0,5.099999904632568,3555800
2020-10-22,5.130000114440918,5.130000114440918,5.139999866485596,4.96999979019165,5.090000152587891,2651600
2020-10-23,5.119999885559082,5.119999885559082,5.130000114440918,4.989999771118164,5.130000114440918,2568000
2020-10-26,4.880000114440918,4.880000114440918,5.070000171661377,4.860000133514404,5.03000020980835,3772800
2020-10-27,4.849999904632568,4.849999904632568,4.940000057220459,4.840000152587891,4.900000095367432,2077900
2020-10-28,4.570000171661377,4.570000171661377,4.789999961853027,4.550000190734863,4.769999980926514,4031200
2020-10-29,4.610000133514404,4.610000133514404,4.639999866485596,4.53000020980835,4.599999904632568,2557000
2020-10-30,4.489999771118164,4.489999771118164,4.610000133514404,4.440000057220459,4.550000190734863,3573900
2020-11-02,4.480000019073486,4.480000019073486,4.550000190734863,4.449999809265137,4.5,2864500
2020-11-03,4.670000076293945,4.670000076293945,4.690000057220459,4.519999980926514,4.53000020980835,2781700
2020-11-04,4.679999828338623,4.679999828338623,4.760000228881836,4.579999923706055,4.699999809265137,3113900
2020-11-05,4.860000133514404,4.860000133514404,4.920000076293945,4.739999771118164,4.78000020980835,2596900
2020-11-06,4.829999923706055,4.829999923706055,4.889999866485596,4.760000228881836,4.820000171661377,2853800
2020-11-09,4.929999828338623,4.929999828338623,5.059999942779541,4.889999866485596,4.989999771118164,3986500
2020-11-10,5.019999980926514,5.019999980926514,5.03000020980835,4.840000152587891,4.900000095367432,4143600
